image_path,source,aqi,pm25,pm10,aqi_category,aqi_soft,day_night,depth_path,has_aqi,has_pm25,has_pm10,notes,aqi_bin,sample_weight,depth_available
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-9.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-8.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-7.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-6.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-5.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-4.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-3.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-2.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-18.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-17.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-16.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-15.jpg,IND_NEP,158.0,70.08,100.82,d_Unhealthy,158.0,Day,,True,True,True,nan,3,0.0090387690757773,False
