city,state,timestamp,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,aqi_overall
Agartala,Tripura,2025-05-19 10:00:00,2.0,,,127.0,,,,127.0
Agra,Uttar_Pradesh,2025-05-19 10:00:00,23.833333333333332,3.2,26.333333333333332,25.5,97.83333333333331,66.8,20.166666666666668,97.83333333333331
Ahmedabad,Gujarat,2025-05-19 10:00:00,20.375,4.857142857142857,37.77777777777778,12.22222222222222,72.0,63.75,12.0,72.0
Ahmednagar,Maharashtra,2025-05-19 10:00:00,31.0,13.0,28.0,6.0,,11.0,10.0,31.0
Aizawl,Mizoram,2025-05-19 10:00:00,3.0,,,1.0,,,2.0,3.0
Ajmer,Rajasthan,2025-05-19 10:00:00,31.0,4.0,37.0,25.0,84.0,61.0,7.0,84.0
Akola,Maharashtra,2025-05-19 10:00:00,35.0,6.0,16.0,17.0,52.0,46.0,6.0,52.0
Alwar,Rajasthan,2025-05-19 10:00:00,72.0,20.0,125.0,21.0,79.0,60.0,44.0,125.0
Amaravati,Andhra_Pradesh,2025-05-19 10:00:00,44.0,2.0,35.0,10.0,,36.0,15.0,44.0
Amravati,Maharashtra,2025-05-19 10:00:00,21.0,3.5,11.0,31.0,57.0,42.5,2.0,57.0
Amritsar,Punjab,2025-05-19 10:00:00,6.0,,,69.0,154.0,97.0,27.0,154.0
Anantapur,Andhra_Pradesh,2025-05-19 10:00:00,46.0,8.0,32.0,8.0,64.0,69.0,13.0,69.0
Angul,Odisha,2025-05-19 10:00:00,63.0,10.0,7.0,6.0,40.0,15.0,16.0,63.0
Ankleshwar,Gujarat,2025-05-19 10:00:00,55.0,6.0,51.0,48.0,46.0,29.0,48.0,55.0
Araria,Bihar,2025-05-19 10:00:00,50.0,5.0,7.0,9.0,,,33.0,50.0
Ariyalur,TamilNadu,2025-05-19 10:00:00,,,,9.0,,,,9.0
Arrah,Bihar,2025-05-19 10:00:00,18.0,1.0,7.0,10.0,51.0,25.0,9.0,51.0
Asansol,West_Bengal,2025-05-19 10:00:00,12.75,7.5,15.5,12.25,46.75,39.25,5.5,46.75
Aurangabad,Maharashtra,2025-05-19 10:00:00,73.33333333333333,5.0,33.666666666666664,17.666666666666668,81.0,82.0,11.666666666666666,82.0
Aurangabad,Bihar,2025-05-19 10:00:00,26.0,1.0,8.0,18.0,53.0,39.0,10.0,53.0
Baddi,Himachal Pradesh,2025-05-19 10:00:00,55.0,6.0,20.0,95.0,174.0,153.0,62.0,174.0
Badlapur,Maharashtra,2025-05-19 10:00:00,37.0,3.0,51.0,10.0,105.0,76.0,12.0,105.0
Baghpat,Uttar_Pradesh,2025-05-19 10:00:00,38.0,3.0,25.0,17.0,142.0,45.0,37.0,142.0
Balasore,Odisha,2025-05-19 10:00:00,24.0,1.0,8.0,19.0,33.0,10.0,6.0,33.0
Banswara,Rajasthan,2025-05-19 10:00:00,108.0,4.0,16.0,29.0,61.0,47.0,11.0,108.0
Baran,Rajasthan,2025-05-19 10:00:00,19.0,8.0,19.0,52.0,81.0,29.0,5.0,81.0
Barbil,Odisha,2025-05-19 10:00:00,25.0,3.0,24.0,14.0,60.0,40.0,13.0,60.0
Bareilly,Uttar_Pradesh,2025-05-19 10:00:00,9.0,1.5,2.0,22.0,39.0,27.0,49.5,49.5
Baripada,Odisha,2025-05-19 10:00:00,,1.0,6.0,10.0,31.0,18.0,14.0,31.0
Barmer,Rajasthan,2025-05-19 10:00:00,8.0,5.0,7.0,47.0,81.0,23.0,5.0,81.0
Barrackpore,West_Bengal,2025-05-19 10:00:00,27.0,6.0,14.0,7.0,33.0,17.0,7.0,33.0
Begusarai,Bihar,2025-05-19 10:00:00,49.0,11.0,73.0,9.0,56.0,40.0,37.0,73.0
Belapur,Maharashtra,2025-05-19 10:00:00,24.0,,8.0,27.0,50.0,35.0,3.0,50.0
Bengaluru,Karnataka,2025-05-19 10:00:00,34.69230769230769,3.5,19.454545454545453,20.90909090909091,51.0,32.285714285714285,12.818181818181818,51.0
Bettiah,Bihar,2025-05-19 10:00:00,65.0,5.0,28.0,22.0,,,13.0,65.0
Bhagalpur,Bihar,2025-05-19 10:00:00,41.5,1.0,19.0,12.0,,,25.0,41.5
Bharatpur,Rajasthan,2025-05-19 10:00:00,37.0,6.0,41.0,20.0,102.0,59.0,6.0,102.0
Bhilai,Chhattisgarh,2025-05-19 10:00:00,41.0,3.0,16.0,13.5,36.5,39.0,9.5,41.0
Bhiwadi,Rajasthan,2025-05-19 10:00:00,56.5,12.0,39.0,22.5,104.0,73.5,15.5,104.0
Bhiwandi,Maharashtra,2025-05-19 10:00:00,32.0,5.0,46.0,12.0,89.0,68.0,14.0,89.0
Bhopal,Madhya Pradesh,2025-05-19 10:00:00,15.0,3.6666666666666665,25.0,64.0,73.0,46.666666666666664,15.666666666666666,73.0
Bhubaneswar,Odisha,2025-05-19 10:00:00,56.0,2.5,7.5,13.0,20.0,9.0,5.5,56.0
Bihar Sharif,Bihar,2025-05-19 10:00:00,,,10.0,21.0,,,9.0,21.0
Bikaner,Rajasthan,2025-05-19 10:00:00,10.0,5.0,9.0,45.0,125.0,28.0,4.0,125.0
